hiddenLayerSize,trainTime,loss,bestValidationScore
"[20, 20, 20]",0:01:06,0.05734636966081434,0.8875605957084961
"[20, 20, 20, 20]",0:01:51,0.053461857422249334,0.8935518125205059
"[20, 20, 20, 20, 20]",0:02:08,0.051687568906628324,0.8985485246902941
"[25, 25]",0:02:04,0.05818542736734218,0.8851325501686065
"[25, 25, 25]",0:01:12,0.05606581127293544,0.8908577111259168
"[25, 25, 25, 25]",0:02:20,0.05150051191424598,0.9007937456457291
"[25, 25, 25, 25, 25]",0:02:22,0.048416644057619904,0.9006249489831378
"[30, 30]",0:01:44,0.05707241079038055,0.885535973793784
"[30, 30, 30]",0:02:23,0.05178182331048766,0.8955120721070333
"[30, 30, 30, 30]",0:01:30,0.05206035299022687,0.8985271493855254
"[30, 30, 30, 30, 30]",0:02:26,0.048465126277869,0.9055742511200308
"[35, 35]",0:01:22,0.057410162296033226,0.8853705863285721
"[35, 35, 35]",0:02:02,0.051415969313766706,0.8956612816589247
"[35, 35, 35, 35]",0:02:23,0.04735616539889864,0.9049962440647291
"[35, 35, 35, 35, 35]",0:02:35,0.046484395180093466,0.9101608485137931
"[40, 40]",0:01:16,0.05660476664857605,0.8882544403568053
"[40, 40, 40]",0:02:17,0.05058307007932205,0.8981907773818809
"[40, 40, 40, 40]",0:02:45,0.04702501034018993,0.9054561795638367
"[40, 40, 40, 40, 40]",0:02:42,0.04685571068345136,0.9085268637260575
"[45, 45]",0:01:14,0.0571723675637101,0.8869932309939365
"[45, 45, 45]",0:02:22,0.0487253263403788,0.9042827150849768
"[45, 45, 45, 45]",0:03:26,0.04601216580818108,0.9086370056503159
"[45, 45, 45, 45, 45]",0:02:42,0.046046021937379694,0.9124062337204929
"[50, 50]",0:01:36,0.05567085076137352,0.8865014057135086
"[50, 50, 50]",0:02:43,0.048564774301017945,0.9026850427264976
"[50, 50, 50, 50]",0:03:12,0.04579990964109338,0.9090288276749611
"[50, 50, 50, 50, 50]",0:02:23,0.04609463370118802,0.907193632815141
"[15, 15]",0:01:41,0.0653102016524071,0.8702315657824418
"[15, 15, 15]",0:01:23,0.058940922069983075,0.8818966619964368
"[15, 15, 15, 15]",0:01:42,0.05757150710325487,0.8838486628773721
"[15, 15, 15, 15, 15]",0:02:12,0.05484786211840057,0.889853001429959
"[20, 20]",0:01:57,0.05923250464846309,0.8857045948160331
"[20, 20, 20]",0:01:54,0.055669039183992484,0.883648393781187
"[20, 20, 20, 20]",0:03:05,0.05161581552153783,0.8974229466381501
"[20, 20, 20, 20, 20]",0:01:27,0.05367502505331598,0.8912422716476238
"[25, 25]",0:01:17,0.06012131368617304,0.8809450343327444
"[25, 25, 25]",0:01:59,0.05453343888082614,0.8938088392927374
"[25, 25, 25, 25]",0:02:04,0.05132167879131862,0.8997989640227011
"[25, 25, 25, 25, 25]",0:03:00,0.04780815834275263,0.9059656273990999
"[30, 30]",0:01:45,0.057508991987518236,0.8865855444952182
"[30, 30, 30]",0:01:50,0.05311654920592826,0.893581942098227
"[30, 30, 30, 30]",0:03:06,0.047888881738973745,0.9064139582323466
"[30, 30, 30, 30, 30]",0:03:03,0.04726455538651696,0.9081783516863338
"[35, 35]",0:01:20,0.05749189424745127,0.8853046057398987
"[35, 35, 35]",0:02:23,0.049654245836178224,0.901716337613543
"[35, 35, 35, 35]",0:02:43,0.04693354226060495,0.9072767668811035
"[35, 35, 35, 35, 35]",0:02:02,0.0486587671628657,0.9014333424201619
"[40, 40]",0:01:07,0.05771713819243273,0.8849988171940345
"[40, 40, 40]",0:02:15,0.05049655705053691,0.8996814435468444
"[40, 40, 40, 40]",0:02:08,0.048093533566874194,0.9061466170793163
"[40, 40, 40, 40, 40]",0:03:27,0.046078991037339194,0.9090965192575526
"[45, 45]",0:02:01,0.05505270826882651,0.8915732737002864
"[45, 45, 45]",0:02:49,0.0491212650639711,0.9035767549215213
"[45, 45, 45, 45]",0:02:26,0.046813466540308234,0.9052278658346999
"[45, 45, 45, 45, 45]",0:02:58,0.04581131403117457,0.9106743233755362
"[50, 50]",0:02:10,0.05350931168877224,0.8917872901725676
"[50, 50, 50]",0:02:46,0.047681904349186004,0.904999091394177
"[50, 50, 50, 50]",0:03:31,0.04577245466060695,0.9100550993543688
"[50, 50, 50, 50, 50]",0:02:52,0.045832366436922616,0.9098070252301458
"[15, 15]",0:01:26,0.062131227061610506,0.8779978106184717
"[15, 15, 15]",0:01:43,0.058727341412238225,0.8842582101555565
"[15, 15, 15, 15]",0:01:29,0.05822255930097752,0.8841051725173616
"[15, 15, 15, 15, 15]",0:02:04,0.054297876908816545,0.892700653692674
"[20, 20]",0:01:46,0.05988894992996902,0.8804124081548866
"[20, 20, 20]",0:01:24,0.056458953178765446,0.8862679672197226
"[20, 20, 20, 20]",0:01:50,0.053375721371044196,0.894785795730339
"[20, 20, 20, 20, 20]",0:02:54,0.05115635985342869,0.9020480003951699
"[25, 25]",0:01:46,0.058924937505537726,0.8828138255419278
"[25, 25, 25]",0:01:54,0.05341728933023521,0.8942346172754809
"[25, 25, 25, 25]",0:01:49,0.05175219044873002,0.8970116549119516
