seed,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
8877,0.8777974254954382,-924.7900980525545,0.7231700488264691,0.06240703728932827,0.000225423321845483,8341.338840237308,0.12820040814683445,0.012077756914660795,12.097032849898618,2.1392778710412403,0.9390099876839915
7605,0.8665067570862822,-575.2053073263789,0.7231298148839747,0.06515765824978326,0.00021617912685828298,4940.727656348395,0.12848920325212498,0.011922055540902855,9.24378877220014,2.04483192399533,0.9067160235873113
882,0.8703968828956133,-836.6308817471922,0.7545263240808316,0.06422794426632154,0.00022224557155765094,7560.540610823754,0.12916694686906985,0.011971640173947664,11.678263096385724,1.8736766490316379,0.8881706345540186
5155,0.8709613841279497,-582.0507801100574,0.7317414738301764,0.06072953717078114,0.00022463148680022766,5184.17356482688,0.12900193949427394,0.012176551637396617,9.81879363900886,2.0611798073872385,0.9253709174105702
6389,0.8686492359256949,-644.9977711903318,0.7575824356825648,0.06131639440693941,0.00022818674326758475,5576.617202407177,0.12831106003282353,0.012118431622716128,9.925569131288762,1.7715718764261839,0.8691409183567114
3910,0.8626804791068392,-678.9783162247022,0.737166237887115,0.0609867122742782,0.00023616479134696042,5984.002571038028,0.1240353954244963,0.012408021688164917,10.36175638558378,1.988653599043284,0.9169091413863111
8880,0.8693009511870317,-855.3491365737787,0.7285779578792275,0.06721518989956343,0.00022695751996061386,7629.560430388735,0.13128139537556074,0.012221930950775986,11.665441913687701,2.087078209504519,0.9313900037211488
8869,0.8682857013026215,-792.0063517887255,0.7345378614054109,0.05973163835479707,0.00023355874011672399,6953.447624944786,0.12316281825287788,0.012223129852423116,10.05482421012828,2.0040970207385835,0.9128629522453112
9495,0.8726250767979064,-491.8084347374233,0.7199870979342936,0.06312156698215655,0.00022692943755449923,4299.281120795866,0.1258819892435734,0.012231713343978195,9.018681565312106,2.1295251981895,0.933976486487115
6352,0.8670619227262617,-494.7509700711095,0.7150683325269989,0.051967421735781734,0.00023168459970994673,4317.009460294372,0.11933095021512839,0.012276384670859303,8.285292535295689,2.161908570494903,0.941315112657345
372,0.8651990729082328,-649.1452995286014,0.7474597094849083,0.05954177821195132,0.00022790043392778429,5460.640125587384,0.12412413373631408,0.012234971048758205,10.22431932001829,1.8183429587186182,0.8866897214002463
4234,0.8730448821066932,-433.2640894657081,0.7300816287554234,0.050176865720685276,0.00023238995955217294,3673.8666852388747,0.11974408256092431,0.012292356445414553,7.836920067358276,1.9887617614391186,0.9255157761798182
5987,0.8746274244457748,-702.4798914253923,0.728737458576607,0.06633465581416254,0.00023002434058818857,6082.332640335825,0.1314300088973716,0.012225690120298205,10.264183687708412,2.0295750924853233,0.9189733551030128
196,0.8728212595333394,-828.6465483228127,0.735101197661639,0.05880597541822632,0.00022966142865110068,7343.715817869239,0.12492998965860573,0.012308343763245657,10.966949764776846,1.9929582848748053,0.9079263604934165
2386,0.8789456562375028,-549.1515711564542,0.7443785565126125,0.055900328823324894,0.0002314294165555564,4945.09907507088,0.12267587854734026,0.01225020190543896,8.729160322690573,1.969434967762741,0.9039992512059217
6532,0.867457581754507,-616.3165533316036,0.7351853285350236,0.06383287866093944,0.00022463061402922156,5489.129759392417,0.1278675924360301,0.01215082615956657,10.090856597252445,1.9946386258067352,0.9155067813190874
3669,0.8656805631937413,-796.068861724391,0.7409566842004845,0.06943381955415896,0.00021881236958995345,6774.586255495929,0.13091526756375946,0.011969050491292363,11.06898025329083,1.873887096327641,0.8824115438431682
6222,0.8701744481346357,-890.8902605610829,0.7179887390214023,0.0661145777998613,0.0002291143625215816,7860.219106874075,0.1280143501534826,0.01217248439928565,11.688082630230218,2.119158523983572,0.9170067274507432
9567,0.8677338183905244,-598.8895191500111,0.7451059208803145,0.05696411810011756,0.00021793560622499112,5427.081866491489,0.12341490764967392,0.01193937773172332,9.665462151438884,1.9798399073167021,0.9034464919507218
711,0.8714258473147592,-715.6945276844931,0.7720717489178924,0.06452496866645556,0.00021494517295056096,6254.845250229563,0.12798486083969202,0.011926585114704945,10.998804811641884,1.6765220751215515,0.8607351585150443
7719,0.8735545819547322,-985.7336550662206,0.7298923776252,0.07390615674164636,0.00022537130485906365,8858.748203959083,0.13473220879036413,0.01214952386310371,13.177711418539326,2.0590062194955228,0.9213139418528666
51,0.8740620165503392,-835.9122023149048,0.7052502953195856,0.06767334777397718,0.00022253568384310416,7273.396084988362,0.12972864748587395,0.012095284115869468,11.130594993164781,2.212992608193591,0.940457995358586
6470,0.8680248382903525,-807.3062335582678,0.7437120449977028,0.06770183274716533,0.0002184625157692787,7234.828109559672,0.1291287205308369,0.011960036808669779,10.826259665802507,1.9498661981219378,0.8932601516676546
3185,0.8608251096941956,-739.321773041355,0.7302793115339169,0.0696091759955342,0.0002253918536806214,6650.550348226461,0.13285545315992392,0.012198595630607274,11.4626329644687,2.058366277248432,0.9111326410848491
3319,0.8637387768726023,-669.2694925141801,0.7458496094193644,0.07149238536090663,0.0002261585016203881,5849.577169994859,0.13338069896570748,0.012066783428008527,10.97145194611703,1.8772209282829906,0.8916660960048419
5235,0.8725164150278797,-679.8341573482904,0.7251814449150276,0.05764618959354846,0.0002248127554873783,6044.896895183228,0.12280257596708687,0.012101009928891527,10.274333746353872,2.1033070026887173,0.9113557059354643
2759,0.8746435646214822,-485.3435249714468,0.7418395957346933,0.05837984497894904,0.00023330006728514345,4300.101156048755,0.12490979230917337,0.01240561033862251,9.033274178824128,1.9418849434688736,0.8951717343608936
5502,0.8674104651382626,-981.7582835536796,0.7504186588328835,0.06421406124095391,0.00023347558927919054,8610.052269302154,0.12691340600008597,0.012446301518328299,11.946020144376671,1.8666462557762746,0.8755580400177123
9601,0.8718206684986644,-451.8376446521925,0.7194511250402256,0.05976912009799057,0.00022182240059078184,3991.932312601159,0.12778189565584894,0.011935426771325836,8.600289934663634,2.147532376049384,0.9267843247190104
7664,0.8730496309566856,-688.8114588062814,0.7250139119319075,0.06611210813817599,0.00021847277371443388,5909.182643494974,0.12884983830139654,0.012024006844894753,10.693421951868709,2.0225037501209715,0.9230703634110516
3333,0.8718474307493501,-691.5077519801757,0.7241432768559019,0.05915881614712066,0.00022497593582590048,6229.884818043647,0.12615063092014883,0.01211367795039998,9.7460406072353,2.1369458547784657,0.9266446430156796
1259,0.8738045454303228,-666.6960345175115,0.7408061652876271,0.06057033460445446,0.00022773534978077375,5908.104347940876,0.1250367060468749,0.01222736266697997,10.194271408336625,1.9342823955474089,0.9000111494293764
6260,0.8680218367380776,-527.4662659434962,0.7310386781375205,0.05928600717962513,0.00023304281015890885,4503.320680708612,0.12370901596765957,0.012459339707948838,9.393922971366745,1.9511233912867751,0.9038535059341366
