seed,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
8448,0.9742309204029969,0.9580290475766731,0.9590729732052029,0.0020136114527618053,9.293757137403478e-08,0.34782217957902983,0.025068219468064618,0.00019143656538772678,0.26737908905026303,0.33827602160010006,0.26577700699325413
9255,0.9747081594846221,-2198.6133507197455,0.9557978721786734,0.0020280426030653974,8.681859739454634e-08,19261.234093623432,0.02542373941677041,0.0001845183497603949,2.6629258230143593,0.3633538203925524,0.28289987859868426
8387,0.9738098739311799,0.9521344222969259,0.952134422296926,0.0019356461340604924,7.804734298214183e-08,0.39588072442733807,0.02550747012411363,0.00018416781485605421,0.28348539963338465,0.39588072442733807,0.28348539963338465
4277,0.9745417216786979,0.93365026229719,0.9544063107144786,0.001999849099146104,9.376144682576317e-08,0.5465843534360258,0.024952021360503274,0.00019664023854560806,0.2769986365498356,0.36739406158643056,0.2698348662881545
3031,0.9717856688348431,0.949068585142906,0.9519897263873501,0.0025559843738557054,9.242971873147928e-08,0.4162892935037518,0.027185705896038234,0.0001867562268333394,0.28803597490681404,0.39026793186791797,0.2853542404146516
1888,0.9743941557372514,0.9314628629214677,0.9573161026381546,0.001997280839937423,7.608640422868579e-08,0.5642326723930019,0.02509144771508091,0.00018264094468966626,0.2724401860677773,0.34181283119853173,0.2577185538651393
6386,0.975948522604114,0.9433592502750896,0.9590645334362667,0.0019369752266390474,8.526880104673555e-08,0.4737941183927495,0.024972172744858762,0.00018939409249171138,0.275913579271081,0.3371856619315392,0.26374442122303915
4151,0.9739347437130911,0.954097644435298,0.9540976444352979,0.0019582454841601503,7.849170633540611e-08,0.3716379867779069,0.02576581792174174,0.00018883868309860205,0.2728696019929078,0.3716379867779069,0.2728696019929078
765,0.9756970011664451,0.7886345150796883,0.9597037263713294,0.0021220823149067963,7.526837060676014e-08,1.8294975326280096,0.024916131063544573,0.0001842223864069438,0.28508092893801024,0.3294091534761526,0.25802766934938465
6389,0.9734450459038437,-44.02573438225037,0.9546750810186365,0.002580794916404076,1.0890603425262688e-07,388.7146446778404,0.02580746182395885,0.00019290609169238197,0.6191843717127852,0.3622796641174278,0.2701430942301647
3175,0.97520186144882,-60.73688098512218,0.9523770984068434,0.002145897850314765,7.518426778164854e-08,518.6082006811421,0.025401437703207623,0.00018624623955739786,0.671265996586368,0.3758218866802951,0.27217917193761904
2472,0.9739868542465976,0.9456852100741924,0.9524387668874293,0.002046728364070083,7.466049235180703e-08,0.4572877147214602,0.02533730922605763,0.00018632468049233726,0.28309144686310206,0.39678470692205675,0.27751522356704567
4499,0.9746569718700875,0.9491623863796382,0.9512586809972255,0.002220475857844932,8.983719707111055e-08,0.42034445930634134,0.026606602834067433,0.00018483642379639502,0.28870781646002447,0.40168293082105927,0.28644765904596264
5458,0.9761626239697933,0.9551861068754738,0.955186106875474,0.0021622674650862545,1.1063700067049631e-07,0.3712810082906637,0.02490990448759749,0.00018687476775249216,0.26970971486806583,0.3712810082906637,0.26970971486806583
146,0.9730787935648407,0.9445787390884579,0.9445787390884578,0.002287459240806062,8.20756368978316e-08,0.45750208481769516,0.026590389553115174,0.0001850753573208451,0.2994425011173629,0.45750208481769516,0.2994425011173629
