seed,testR2,testR2Real,testR2RealNoOutiler
2391,0.972532443621042,0.9524740589705297,0.9524740589705297
4993,0.9722041488210048,0.9482720036982517,0.9595000330653761
2258,0.973761278123948,0.9395082674198963,0.960140424922911
3244,0.9743583670280064,0.9467754276562608,0.9564146686682647
8677,0.9752879925539683,0.9581013453185435,0.9581013453185436
3775,0.9712856581321118,0.8720450434734807,0.9558311906595197
8937,0.9761977717645504,0.7790579416740392,0.9471248779892928
8208,0.9749124968862909,0.9319554187135765,0.9558103228449925
6247,0.976959975383665,0.820306807191067,0.9605971590082021
751,0.9736119911279456,0.9498716412602984,0.9585560797074747
1278,0.972346303830304,0.9108381003447055,0.94976943603063
773,0.9741579350521272,0.8679595722784766,0.9560608747139382
1735,0.972968303827542,0.9481560046055675,0.9506537105936627
2569,0.9762188729302976,0.93488668508803,0.9531303809989747
5482,0.9753607111021406,0.8971048281997668,0.9533239615024697
3900,0.9735507642891129,0.7327734331196165,0.9454931480349873
6519,0.9759656936730933,0.8134946383632617,0.9533228388539666
6273,0.9711031075692339,-18126.968875296807,0.9593895002648049
2453,0.9756247835383384,-15.059598654574712,0.9474267600416283
4803,0.9748438253148799,0.9478001018317643,0.9545424186379633
6427,0.9732769440891594,0.9211020991931088,0.9547109810076971
4708,0.9731655411083494,0.9410672744522804,0.9554911442684713
7524,0.9739981533610802,-8.28595694469853,0.9559862442810325
5197,0.9726299522951104,0.9437581267332259,0.9506042421431613
8590,0.9765727588438161,0.950952958037973,0.9565929420658148
4066,0.9738952826294304,0.9296266373187801,0.9618443910851185
7982,0.9740189061023132,0.9514761540807947,0.9563479574611501
4156,0.9746497452034176,0.949777098364561,0.9497770983645614
6068,0.9751510910215456,0.9581344438787216,0.9581344438787216
8398,0.9760357580331114,0.9523838225006171,0.954377042299376
449,0.9755808706947823,-3.556233658674792,0.9510905270065978
5444,0.9724090562422528,0.9526354783006403,0.9594329633983373
3038,0.9759226964539716,0.9575926333386625,0.9575926333386624
5050,0.9732168170469652,0.9559224997319428,0.9559224997319427
