seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
4419,0.014361476733315054,0.9721827659588391,0.9720972703433294,0.9079879581174302,0.9465939773976367,0.002215035208707166,4.228889110273003e-06,0.8018934773784901,0.02894025805342726,0.0014698564904807882,0.36532803394161995,0.45278740041511834,0.34706623835840805
8113,0.013742329578284024,0.9734358833811568,0.9741269063254157,0.9228747533023404,0.9500916225842667,0.0020197098592646193,1.6276362403922714e-06,0.6550360588300234,0.028191556326716813,0.0008986703083548371,0.3180668318419279,0.414325777837268,0.3074613695223307
6858,0.013223438830020142,0.9715524673030164,0.975723950749224,0.8874170272988517,0.9461815654197844,0.0017555371348313945,2.2345589209143236e-06,0.9732442727230931,0.025319511249623332,0.0010824812027520614,0.3436375828940251,0.45305130552206624,0.3201701340594258
309,0.01308634123361382,0.976197207720177,0.9731631604134309,0.9369074659022504,0.9382715119359447,0.0013226977397350478,2.047124934545215e-06,0.5385689040286654,0.02303803123970271,0.0011504066159718348,0.33603255617086814,0.5264999528098067,0.3342392956114104
1135,0.013280654512754,0.9741379729883771,0.9754293420300716,0.9430177012113985,0.9513906228292764,0.001666109865086609,2.5367188080784173e-06,0.4787008681690959,0.025370633264171896,0.0012123446885375063,0.30775161883260155,0.4046037962184583,0.30181403064475476
5783,0.01327277998218133,0.9754665827069443,0.9744817872037673,0.553694716203251,0.965987828171941,0.0019626560349201155,2.3999443143856055e-06,3.7367357547085067,0.02658157463014673,0.0011778865156355125,0.2913809979376228,0.2624579576431446,0.2557436584743053
4124,0.012763059354033608,0.975314871650363,0.9729105378570234,0.9378326149808167,0.9473078412963511,0.0017029842095609268,1.9201161653322696e-06,0.5143826065478171,0.026251950349874507,0.0009996850394437837,0.30967365376321393,0.43252482938786907,0.3048652922639945
2203,0.012838465051199906,0.9737630088475681,0.9736808113351993,0.916144182363416,0.9364353513417959,0.0014549635247659272,3.2924056752491378e-06,0.714789865209208,0.024907208340232113,0.0014936699480695597,0.3471495013890409,0.5365927093262127,0.33724222259002323
38,0.01279009691285351,0.9721209861313681,0.9764042192092894,0.9374403490346902,0.9412512165488973,0.0018563351135489387,2.2339387235312467e-06,0.5281355482009876,0.026229248174059826,0.001078319093460496,0.3284100728535943,0.49441666000001305,0.32535765794437105
4980,0.013454768443143821,0.9757110329089643,0.973940671163911,0.9369365967899946,0.9533467212622971,0.0014751780978740853,1.6716023023699566e-06,0.5339035827996578,0.024579580736330063,0.000969345903443464,0.30873341857044156,0.3900828441524565,0.3023325847763148
6139,0.013022241234028334,0.9742972613258082,0.9743978131591883,0.9348464175994632,0.9396830709738578,0.0016747074416142347,2.302564363259797e-06,0.5453415618839507,0.02488021369134505,0.001075275522010528,0.3400916148791895,0.5028458626195671,0.33428316009877385
7837,0.013157418833514038,0.9726754350893952,0.972999249141358,0.9388733696395891,0.9403091721439826,0.0019098403789195668,2.3215159684188553e-06,0.5088418399529533,0.028888106880797914,0.0010807051568844392,0.33116113711684125,0.49624417081041006,0.3293266431395132
5579,0.013327279672990782,0.970059309147449,0.9736953461090433,-2.6003523016881105,0.9496716451016732,0.0023160415290926772,2.2668823736638648e-06,31.47523641485327,0.027619375183473648,0.0011644393794405623,0.4226461726140125,0.4168462737643071,0.30442379356720645
7914,0.013228680859108548,0.9760309837078799,0.9756458934942874,0.9628610525852906,0.9649838442027829,0.0018881528646273011,2.4491220521500467e-06,0.2985471731823063,0.027626286354009474,0.001129660118305117,0.2884636520053215,0.2798568174588199,0.2862038486330669
3289,0.015430295141218766,0.971991138920786,0.9713581199376146,-12.198461835811004,0.9239923144823118,0.0031775753662563475,3.0102613813259707e-06,113.48065474668111,0.029834691628659676,0.0012690344590072199,0.6217400413552706,0.6224526994138133,0.38727384579707264
4290,0.013560111152359153,0.972729665937592,0.9764679551565023,0.9423864861475449,0.9443595396846867,0.0015959483477287668,3.239675538041237e-06,0.47568861284957853,0.025074730198712814,0.0013032126855984677,0.3113347249616918,0.45858096629707484,0.3091792034547202
5242,0.01514209663921576,0.9697074802767199,0.9721295030998949,0.8293054636404985,0.9180653270609099,0.001784248257245304,3.0400801973651593e-06,1.4888272980705886,0.027749431347435908,0.001137701080530735,0.4135862180745875,0.701713737814326,0.39104829287629855
5279,0.013161942084099303,0.9750297445013092,0.9750085651266437,0.9586992059217007,0.9621426465617106,0.0012503376338422578,2.3873150485165884e-06,0.3459402388928006,0.022200904868172795,0.001206115222209473,0.27204588851655426,0.3157750395881135,0.2691493308641169
5488,0.014365724468748202,0.9708541134485209,0.9695562089131656,0.39165333307261285,0.9215934703277798,0.002407460536589617,3.85937051864441e-06,5.318333576750895,0.027249306587586224,0.0014734076846518963,0.41684025742405006,0.6589830254256056,0.3734884151317327
1465,0.01315221170817478,0.9742870052400288,0.9738121024308469,0.7542269372906901,0.9535510614707242,0.001783567660901806,2.3250285920460775e-06,2.190005039077825,0.024662430570308765,0.0011555902523314385,0.34850581262383057,0.3979977696956954,0.3133782632610614
8648,0.01315007529232406,0.9732130582911296,0.9750753667455075,0.9267516935593503,0.9507267471424211,0.0017300848823602639,1.7664514847275894e-06,0.6030108691880605,0.025047858699994333,0.0009713115184325747,0.31391147174619327,0.3984021706801946,0.3030747809299889
7520,0.013265425427300963,0.975888536179813,0.9743697024354575,0.9544511234352248,0.9587783732644585,0.001462273601471605,1.893017094330771e-06,0.39071335246485694,0.02452171759398489,0.0009884705553341966,0.29020245930738026,0.3514790171901618,0.28689392945135667
