hiddenLayerSize,trainTime,loss,bestValidationScore
"[20, 20, 20]",0:02:00,0.15995207929451585,0.6776979843648965
"[20, 20, 20, 20]",0:01:11,0.15366288533678948,0.6827075062593565
"[20, 20, 20, 20, 20]",0:02:18,0.14468334386878115,0.7153797235589893
"[25, 25]",0:02:24,0.16558476510613765,0.6678083200575887
"[25, 25, 25]",0:02:39,0.14789869459330474,0.7027278072959492
"[25, 25, 25, 25]",0:02:12,0.1432843253208538,0.7161690994655036
"[25, 25, 25, 25, 25]",0:02:16,0.14416424793327715,0.7267723691313352
"[30, 30]",0:02:39,0.1664473442065346,0.6703054766651912
"[30, 30, 30]",0:02:00,0.1496649026327324,0.7061119130388054
"[30, 30, 30, 30]",0:01:15,0.1527325135050209,0.7051521656323722
"[30, 30, 30, 30, 30]",0:01:38,0.1443057678311609,0.7162287637556224
"[35, 35]",0:02:20,0.16332955225603923,0.6760739689819518
"[35, 35, 35]",0:01:18,0.1529841276105089,0.6871172913853428
"[35, 35, 35, 35]",0:01:35,0.14313116817004837,0.7160774130682551
"[35, 35, 35, 35, 35]",0:02:48,0.1376383612052441,0.7264947624223744
"[40, 40]",0:03:04,0.15884411029368242,0.6798480232775223
"[40, 40, 40]",0:03:34,0.14332411123424468,0.7175684492714364
"[40, 40, 40, 40]",0:01:59,0.14434269431705227,0.7172257080398431
"[40, 40, 40, 40, 40]",0:01:22,0.14502997860132025,0.7117048989589484
"[45, 45]",0:02:00,0.16558154742811043,0.6645091289773665
"[45, 45, 45]",0:01:30,0.15313209081243734,0.6915563709330996
"[45, 45, 45, 45]",0:02:00,0.1425527969596966,0.7174841731860239
"[45, 45, 45, 45, 45]",0:02:26,0.1393986738147992,0.7193917256833782
"[50, 50]",0:02:29,0.15965816540072586,0.6847366308370768
"[50, 50, 50]",0:01:50,0.14741544992827804,0.7130300168410582
"[50, 50, 50, 50]",0:01:40,0.14400634735636192,0.7144692498311042
"[50, 50, 50, 50, 50]",0:02:51,0.14287825004273613,0.7268414132718939
"[15, 15]",0:02:26,0.17511541381717435,0.6518995734264977
"[15, 15, 15]",0:01:42,0.16567370810755644,0.6654045557175513
