alpha,learning_rate_init,beta_1,beta_2,epsilon,loss
0.00010930569435466862,0.0031281631577259384,0.9891269416949517,0.995598832613151,1.0597244817938514e-08,0.11273254819056515
5.284167282144578e-05,0.00038783455732648313,0.9074289547543979,0.9849837710302819,1.6396712123061098e-08,0.10335522738616489
0.0002763694147096951,0.001443041062418326,0.8306135401728109,0.9928004257725865,3.756227790894994e-08,0.10674180274562677
0.0001134285664327265,0.003168577409168381,0.9894376786868704,0.9808507331458002,6.287376000305608e-09,0.11327542537778139
0.00032209978454456956,0.0026954795829539084,0.808982014787858,0.9932269903144078,6.9695176717519655e-09,0.1107513912325766
0.00013865511379645593,0.0025141711483743995,0.9212932198895905,0.9980316552261173,3.064516303172879e-09,0.10579718505917209
2.265259214032313e-05,0.0032479112927089855,0.989135597383888,0.9861004419899448,7.74909262973469e-09,0.11261388992678863
8.868181696646941e-05,0.0021797922567557957,0.8218525171767438,0.9982152988552438,9.425920600645213e-09,0.10479229755924394
0.0005441561993800751,0.0016497546076484153,0.7063447986835641,0.9920414446252265,2.3724067040637583e-08,0.10885210514341281
0.00019894487438867808,0.0017753294134051187,0.8248605845547637,0.9943555695347945,2.8069391174861095e-08,0.10515201895150916
2.9100883671817648e-05,0.0004538514138566533,0.981954837250795,0.9818588531000679,3.0563155759052376e-08,0.10387559912322947
0.00013248803646829116,0.0023999510834679587,0.8951291149871535,0.9816109315732777,2.2183874810844538e-08,0.10699100621514084
3.241806017506422e-05,2.0482333907028598e-05,0.8369933698565848,0.9951707678289166,1.3390866730788965e-08,0.1564482667146422
0.0003873704540400079,0.002197154686685793,0.7080909096790532,0.9929075975997353,8.530856909501745e-10,0.10866054896776195
0.00022188366263684102,0.0009211459075822183,0.9192013029320112,0.9822328572575042,5.987836294528421e-08,0.10596994413677485
0.00016066328429039132,0.0028171028558019113,0.9408691087538438,0.9963425786976412,1.5442400849672813e-08,0.10833924354552313
9.354678719991813e-05,0.00025715391377835396,0.7860841222029148,0.9874774916874972,1.1355033193548635e-08,0.10494720622015988
8.453453738936974e-05,0.0012787241962053078,0.8386521666961695,0.9913270800299195,2.116680391829668e-08,0.10445688672260607
3.463807370581176e-05,0.002026712779293163,0.9109462253832188,0.9874453549831154,1.7473113172168198e-08,0.10602157301801918
0.00027610654046061217,0.002027951917685255,0.7142439457604484,0.9937323927161045,1.6119706704354704e-08,0.10896715218797379
8.867185546758049e-05,0.005791884267956062,0.8165139498827505,0.9987082865419806,1.1757215144289845e-08,0.11306642970001252
5.569054163461008e-05,0.00023529453668006263,0.9733750413916644,0.993506534351413,2.2601279771675504e-08,0.10347117649352389
0.0002477872027940968,0.0002792707944970214,0.9635525326439212,0.9861543193863181,3.2279617515362194e-09,0.1055520507024281
0.00016664597827140842,0.0046461624742188765,0.9880728118869306,0.997110673806681,2.5946697069744395e-09,0.1174188868695689
0.00028757171533229164,0.00015986344221120884,0.7224032351948468,0.9839365660141481,1.097865848695171e-10,0.10712884003310408
0.0001265198659345878,0.0015549556798770039,0.9266388405689375,0.9957212203770167,2.3249295307463513e-08,0.10441492224462266
0.0005866935227664349,0.00014465161853159138,0.7368667085441524,0.9807869638335078,5.982977486916192e-09,0.11136534607084714
0.00028885582219143177,0.0019475182003923614,0.9539600639496979,0.998195413382759,1.209474278936941e-09,0.10856439464604623
2.351855494710658e-05,0.0018010094937133555,0.9517368913994393,0.99988766985037,1.6795173995796905e-08,0.10392615033862516
0.0006804574655825133,0.0009485124754227052,0.9215264479818488,0.9800371005802904,3.125580790832413e-08,0.10584386743603869
3.0127938732726756e-05,0.001720336619990147,0.7964475845954357,0.9855259783491437,5.917046648040421e-09,0.10601164190733635
0.0003716444466444395,0.0018979249042669379,0.963193412886874,0.9940625235485653,2.0838689589823378e-08,0.10830388268446706
0.00023761428872775566,0.004562915950090327,0.7331066445258702,0.9870752945908743,8.828213362554447e-09,0.11228836179533484
0.00023432000146505452,5.0091922893065076e-05,0.7143517857417623,0.9849455394381545,5.401246509317857e-09,0.15285834577242818
6.295496646099666e-05,0.002747911199962868,0.7171830068649,0.993944503343687,1.4267251366149151e-08,0.1074915975585179
4.372012373632236e-05,0.0008082818274859881,0.7839392935250373,0.9881867366742959,1.91558371052098e-08,0.10410119062371118
0.00030302021980133727,0.0025108692131274994,0.7093162079713979,0.9984397835854163,2.2698434770325854e-09,0.10845002304903312
0.00021305583802841915,0.001652840168138411,0.7759574372487541,0.9963909587016871,2.7949690043806022e-08,0.106269560164909
0.0003058411932129653,0.0045899186860250355,0.9589635275085567,0.9979424456515278,1.0199187466867919e-08,0.11621779458060126
0.00029901781950069967,0.0031301601739010198,0.97325212515153,0.9976490674358378,3.983481837650288e-09,0.11089547623040015
0.00022157757593604434,0.0006513498016994625,0.8653444260707468,0.9827968139286768,2.699413775228781e-08,0.10327824825248133
0.00016611685371512795,0.00016252371209380832,0.9567252348905659,0.999080084204272,6.293513886458754e-11,0.10624911563702653
6.46440105020026e-05,0.004686113133261206,0.9789001476656485,0.9871181558705251,5.550022219650407e-09,0.10895935476191387
0.00016832082762460756,0.000992716572368173,0.9343352023944668,0.9951747415988822,2.0222473671749216e-08,0.1073046104128409
0.0002538740108785653,0.00042406608816416137,0.918222377699789,0.9913028614117371,3.759757769201851e-08,0.10436512120077314
3.913472508058661e-05,0.0008109319661601555,0.981625823066256,0.9923080552054532,1.109887136972911e-08,0.10425171225255274
0.00026242982082845187,0.0037130017228656103,0.8867748946240953,0.9892373656870349,7.1580317850511974e-09,0.11185116303182613
7.533440476384842e-05,0.0018440698184777884,0.7297804626143178,0.9966703140458315,1.523915337961845e-08,0.10657945460629524
0.0001214697101050623,0.0005622895995539012,0.8780794441349686,0.9914062886937409,1.590968072659345e-08,0.10470315439481462
5.757938394047194e-05,0.0009599046101029012,0.8956287643526282,0.9925185653836787,5.708200970618237e-08,0.1057033713648469
0.00035230320919992116,0.0036527516928539687,0.9536163781198641,0.9945853421474045,3.319851195481673e-08,0.11104418273364723
7.660474494696756e-05,0.0006490572832403168,0.8444511832218843,0.9983282221991079,8.554641308585082e-09,0.10465291311503767
0.00011531559488921374,0.0009401993607205931,0.9648004080937971,0.9990533482213322,1.8392836563795144e-08,0.10568927355941461
0.0001717200599926359,0.0009038330492509143,0.9620331431658149,0.9818780143477382,1.288675789595147e-08,0.10385721389777741
4.7544626732052375e-05,0.00018762053021285398,0.9474938340069442,0.9843514990995808,7.450186549006228e-10,0.10338285998105884
0.00013525405332583498,0.0026937323886378588,0.9350806221504319,0.9890922490187078,1.4261531263508752e-08,0.11032024792273044
0.0003162259151588131,0.002507754479013956,0.9222849075474255,0.997251337694983,3.441761502869547e-08,0.1084451538088567
5.874954267540449e-05,0.0001827202956509004,0.9549052953922563,0.9803450734969728,1.1230138768978212e-08,0.10575933379879576
