seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler,mseRotTrans,mseAxLength,mseMElong,maeRotTrans,maeAxLength,maeMElong,mseMElongNoOutiler,maeMElongNoOutiler
7102,0.013193674137201222,0.9731810106523154,0.975184653684809,0.9139401595752895,0.9534074332943333,0.00163539454611222,2.1963530557511754e-06,0.7521176312752419,0.025317550322321643,0.0011096499298967632,0.31100313967290494,0.3976886299559565,0.3009064373080555
4188,0.013166536483404797,0.9709053412504994,0.9726956402285722,0.9513444901927613,0.9513444901927613,0.0012202206879815191,4.0405943467486005e-06,0.42839758159979313,0.022438422948488683,0.001691525344935855,0.32097703451064885,0.42839758159979313,0.32097703451064885
4347,0.013303772572327016,0.9759904705680856,0.9745752903866819,0.9609615074156226,0.9609615074156227,0.0019237757525173943,2.487891920087607e-06,0.3258088636324169,0.028746408913685913,0.001187114044636308,0.2860071398397831,0.3258088636324169,0.2860071398397831
9222,0.012926355761523399,0.9733424397412903,0.9718601331270295,0.9316603502001112,0.931660350200111,0.00214060206019829,2.2763423679545894e-06,0.5795153577014807,0.0264476270626247,0.001177228039945148,0.3269692859844792,0.5795153577014807,0.3269692859844792
1683,0.013171973398545613,0.9727708219807796,0.9761089729098641,0.961634654244864,0.9651705645468448,0.0013948384833416753,3.469619004735135e-06,0.31482296342348653,0.0214037345241248,0.0014861811120361048,0.23637017584910325,0.2841191982390016,0.23343725888994832
3609,0.013145242383627681,0.975784892188762,0.9747987030333759,0.9719274169266688,0.9719274169266691,0.0013495169504181214,2.2637444998672937e-06,0.23061485591449182,0.022555111114875317,0.0011585081841883633,0.24333992009698074,0.23061485591449182,0.24333992009698074
1217,0.013506863365566134,0.9746403971401151,0.9741254099959095,0.9465577097822658,0.9465577097822658,0.0017252321821108955,2.0689404607686265e-06,0.4440172523544859,0.02602155516415958,0.001057312740344011,0.321436274061016,0.4440172523544859,0.321436274061016
3765,0.013464764570302462,0.9766954989887463,0.976265111729638,0.9633422229823321,0.9633422229823321,0.0014531697894652185,2.232341360162688e-06,0.3037000885833202,0.023511385047825323,0.0010710452349832384,0.2849185446571808,0.3037000885833202,0.2849185446571808
3400,0.013213433469206932,0.9764190012717995,0.9739771494247943,0.9543035688636428,0.9543035688636429,0.002186698998637084,3.117769342075083e-06,0.3733902392983836,0.029113277987652925,0.0013559182242362025,0.29132191321287476,0.3733902392983836,0.29132191321287476
2237,0.012899111873256175,0.9755587381430448,0.9740448129672439,0.9600000611664298,0.9600000611664297,0.0011755078197603107,2.778285701263139e-06,0.3341535305237476,0.021880346055659833,0.001288242241190404,0.279907162974551,0.3341535305237476,0.279907162974551
196,0.013040978849882607,0.9731292500670504,0.9735000949922711,0.9497752419427888,0.9497752419427891,0.0013768954417464957,3.1691396409815813e-06,0.4259120552128683,0.022195154077955297,0.001425920624301435,0.2915060047823184,0.4259120552128683,0.2915060047823184
4325,0.013082468484488293,0.9746926345394211,0.9752135171128118,0.5767347130087255,0.9422188390991143,0.002076489363140341,3.2756234634022586e-06,3.6800235790797617,0.025545720578456776,0.0013876871763376108,0.356954133807621,0.4834255896804385,0.3159479570816537
441,0.013359540295525035,0.9744284902342087,0.9746591957586924,0.9509748113207691,0.9509748113207689,0.0012798882585618185,5.347068090413802e-06,0.42893021547725124,0.021492375055071036,0.0019404226228770488,0.29724551138081223,0.42893021547725124,0.29724551138081223
736,0.013425350676946293,0.9723700320680688,0.9755666365142396,0.9474542250405446,0.9489964589451289,0.0016455744381908702,3.388551105600385e-06,0.45679190485331195,0.02534631995200417,0.0014758941495956511,0.3409231554425633,0.4424729961559143,0.33896632557103323
9465,0.013378932290912452,0.9749396816502275,0.9724714189720057,0.9395133111697117,0.9436826242824643,0.0012616376882499177,4.240331641794494e-06,0.5078750065954946,0.022528944468306698,0.0015665929517808756,0.3380306135859069,0.47137088910196084,0.3336360070856589
4981,0.013447142663788405,0.9764352587643019,0.9735495398299173,0.9060275553501244,0.9552904942195525,0.0017148769641448377,2.401562943854468e-06,0.8292626083035882,0.027480420845014397,0.001197695843034945,0.2883924502651674,0.38274530975027304,0.27704241629353765
