hiddenLayerSize,trainTime,loss,bestValidationScore
"[20, 20, 20]",0:00:19,0.013694177927823405,0.9732595557406002
"[20, 20, 20, 20]",0:00:16,0.01336087824410415,0.9723876024278656
"[20, 20, 20, 20, 20]",0:00:19,0.013282472596826194,0.9707944604045072
"[25, 25]",0:00:19,0.014017806975845655,0.9698816378497326
"[25, 25, 25]",0:00:12,0.014463219195021627,0.9705292015520164
"[25, 25, 25, 25]",0:00:16,0.01349085455680688,0.9758082526324311
"[25, 25, 25, 25, 25]",0:00:23,0.01300290103988986,0.9722253820265331
"[30, 30]",0:00:11,0.014709509616088256,0.9652499663935122
"[30, 30, 30]",0:00:16,0.013284126669333181,0.9743693101519728
"[30, 30, 30, 30]",0:00:19,0.013409288037860768,0.9765854823865965
"[30, 30, 30, 30, 30]",0:00:21,0.01312444113216638,0.9747940160473818
"[35, 35]",0:00:12,0.014628042059847203,0.9717142326027389
"[35, 35, 35]",0:00:22,0.012770773608301356,0.9770498199010852
"[35, 35, 35, 35]",0:00:23,0.012618114193796168,0.975522021459665
"[35, 35, 35, 35, 35]",0:00:24,0.012613423724002487,0.9744204780362895
"[40, 40]",0:00:13,0.014874201135125675,0.9719650778607072
"[40, 40, 40]",0:00:25,0.012739042167944964,0.9742076715191832
"[40, 40, 40, 40]",0:00:20,0.012917452834673543,0.9741500104050642
"[40, 40, 40, 40, 40]",0:00:15,0.013618223548136464,0.9729346362995671
"[45, 45]",0:00:15,0.014652598851473016,0.972312921728237
"[45, 45, 45]",0:00:19,0.013048761852051534,0.9744449620408006
"[45, 45, 45, 45]",0:00:29,0.01277729373335098,0.9722632855211653
"[45, 45, 45, 45, 45]",0:00:19,0.013187150607706614,0.9740665086047704
"[50, 50]",0:00:20,0.01447777333690766,0.9732404697144639
"[50, 50, 50]",0:00:22,0.01332870615722045,0.9727531621844752
"[50, 50, 50, 50]",0:00:17,0.01344892955928867,0.9694710123133535
"[50, 50, 50, 50, 50]",0:00:22,0.013156262419324901,0.9744360242098858
"[15, 15]",0:00:13,0.015586212054814187,0.9686459686451668
"[15, 15, 15]",0:00:15,0.015485010408234213,0.9702902618631715
"[15, 15, 15, 15]",0:00:20,0.013631123252141846,0.9721980028943604
"[15, 15, 15, 15, 15]",0:00:16,0.014102771738841498,0.9714419342552779
"[20, 20]",0:00:14,0.0154383561633275,0.9697499034044345
"[20, 20, 20]",0:00:19,0.013611714329295387,0.9704963577432678
"[20, 20, 20, 20]",0:00:21,0.013206197652469547,0.9747997705476154
"[20, 20, 20, 20, 20]",0:00:21,0.013114729677160056,0.9749250815988498
"[25, 25]",0:00:11,0.015456757250384943,0.9701629764505345
