seed,loss,bestValidationScore,testR2,testR2Real,testR2RealNoOutiler
5639,0.013250208783119725,0.975634618812835,0.9738216448522948,0.9674827415624657,0.9674827415624657
4429,0.012803486087642901,0.97340520141249,0.9733658045255686,0.9609752442068601,0.9609752442068601
2025,0.013198153037284008,0.9753242358566695,0.9753997585009753,-0.5542865869437594,0.941813274100355
3874,0.013235119093420171,0.9776827287774625,0.9763880808590831,0.9626040770001927,0.9626040770001927
7442,0.013130586594260248,0.9726224692087375,0.9740893768775297,0.9372090000160752,0.9372090000160752
2122,0.013164571995954102,0.9744038341553799,0.972680719699761,0.9517070851570932,0.9517070851570931
92,0.013387695169267464,0.9747834517822183,0.9731176663071848,0.9377035306359804,0.9377035306359804
8347,0.013260698231088922,0.9738039994801534,0.9751697465307743,0.9599537857226371,0.9599537857226369
1471,0.013823434192771303,0.9747702785651605,0.9741764384604473,0.9177634950394751,0.9202019928194679
3742,0.013489278797812726,0.9740206346086616,0.9756681892992166,0.9323966887906456,0.9552946961030829
5506,0.012809258223836708,0.9748874787983786,0.9744607556063438,0.959702609058704,0.959702609058704
3026,0.012913160177933243,0.9750922002791457,0.9757652529408384,0.9493198882604458,0.949319888260446
4092,0.013017710138960532,0.9740147219863058,0.9756483242466553,0.9484330937133287,0.9484330937133287
5265,0.013200131466620373,0.9723284051635055,0.971393074160552,0.9364843496489946,0.9469661227370553
7011,0.013407501504659193,0.9770602060074592,0.9753929289984389,0.9487704037328261,0.9499690757162167
4074,0.012991345809734696,0.9765865042385545,0.9726691044223937,0.9560405270927136,0.9560405270927136
2265,0.013125610324287575,0.9702329237536014,0.977970237066057,0.9477005676085648,0.9477005676085647
2214,0.012959842897621502,0.9736474195294252,0.9772934652574418,0.9452275055925415,0.9452275055925417
2240,0.013470726257540465,0.9768428468059708,0.9767342706115469,0.962200521666087,0.9622005216660873
5632,0.01357792773198419,0.9729962961861583,0.9731040321168779,0.9337394867163694,0.9391956126884015
9087,0.013461507377036663,0.976458608485499,0.976014287492334,0.9468786733033187,0.9468786733033188
4310,0.012869451815128793,0.9745570090184037,0.9725839880422763,0.9423543126100739,0.9423543126100739
453,0.013175476672904567,0.977209202652546,0.97307508366511,-0.0711423174007783,0.967306800872488
5049,0.013126651757656359,0.9764583000256167,0.9727325366674225,0.9482638418627999,0.9501788960491918
767,0.0132841154417472,0.9773540917904299,0.9731304063001888,0.9563205105680693,0.9563205105680691
4313,0.012945021934063378,0.9753512656034942,0.9744950620571228,0.9529729735633242,0.9529729735633241
4728,0.01312365372833775,0.9747578942634755,0.9737343876227387,0.9510779575100559,0.9529286969960911
5706,0.012955840229243372,0.9763118364683886,0.9747209689418929,0.9672072246501765,0.9672072246501765
1766,0.013503684168803076,0.9733644298554682,0.9743129388963684,0.9321370535030148,0.9385007656837616
